Data;Ativo Total;Ativo Circulante;Caixa e Equivalentes de Caixa;Aplicacoes Financeiras;Contas a Receber_1;Estoques_1;Ativos Biologicos_1;Tributos a Recuperar;Despesas Antecipadas_1;Outros Ativos Circulantes;Ativo Realizavel a Longo Prazo;Aplicacoes Financeiras Avaliadas a Valor Justo;Aplicacoes Financeiras Avaliadas ao Custo Amortizado;Contas a Receber;Estoques;Ativos Biologicos;Tributos Diferidos_1;Despesas Antecipadas;Creditos com Partes Relacionadas;Outros Ativos Nao Circulantes;Investimentos;Imobilizado;Intangivel;Diferido;Passivo Total;Passivo Circulante;Obrigacoes Sociais e Trabalhistas;Fornecedores;Obrigacoes Fiscais;Emprestimos e Financiamentos_1;Passivos com Partes Relacionadas_1;Dividendos e JCP a Pagar;Outros_1;Provisoes_1;Passivos sobre Ativos Nao-Correntes a Venda e Descontinuados_1;Passivo Nao Circulante;Emprestimos e Financiamentos;Passivos com Partes Relacionadas;Outros;Tributos Diferidos;Adiantamento para Futuro Aumento Capital_1;Provisoes;Passivos sobre Ativos Nao-Correntes a Venda e Descontinuados;Lucros e Receitas a Apropriar;Participacao dos Acionistas Nao Controladores;Patrimonio Liquido;Capital Social Realizado;Reservas de Capital;Reservas de Reavaliacao;Reservas de Lucros;Lucros/Prejuizos Acumulados;Ajustes de Avaliacao Patrimonial;Ajustes Acumulados de Conversao;Outros Resultados Abrangentes;Adiantamento para Futuro Aumento Capital;Receita Liquida de Vendas e/ou Servicos;Custo de Bens e/ou Servicos Vendidos;Resultado Bruto;Despesas Com Vendas;Despesas Gerais e Administrativas;Perdas pela Nao Recuperabilidade de Ativos;Outras Receitas Operacionais;Outras Despesas Operacionais;Resultado da Equivalencia Patrimonial;Financeiras;Receitas Financeiras;Despesas Financeiras;Resultado Antes Tributacao/Participacoes;Provisao para IR e Contribuicao Social;IR Diferido;Lucro/Prejuizo do Periodo;Adj Close;IBOV;Empresa
31/12/2012;3266353.92;1557346.05;506928.00;79675.00;561172.99;332640.99;0.00;37388.00;7396.00;32145.00;468063.01;0.00;0.00;137190.00;278108.00;0.00;3751.00;0.00;2500.00;46514.00;852574.02;206476.99;181894.00;0;3266353.92;424143.01;35975.00;69831.00;37748.00;131984.00;0.00;42656.00;105948.99;0.00;0.00;1543828.99;1523479.04;0.00;8738.00;0.00;0;11612.00;0.00;0.00;13198.00;1285183.95;716216.00;7941.00;0;546209.02;0.00;14818.00;0.00;0.00;0;222956.02;-100434.01;122521.99;-10291.00;-19095.00;0.00;-28208.00;4884.00;542.00;-15199.00;19089.00;-34288.00;55154.99;13780.00;-22245.00;46364.99;6.30;60952.00;JHSF3
31/12/2012;11060825.09;883603.97;254204.99;0.00;629398.98;0.00;0.00;0.00;0.00;0.00;2053358.98;1081595.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;971763.97;8123829.76;32.00;0.00;0;11060825.09;1012083.97;0.00;0.00;29334.00;951257.02;0.00;4780.00;26713.00;0.00;0.00;732396.03;0.00;0.00;457428.00;0.00;0;274968.00;0.00;0.00;0.00;9316344.83;3900000.00;0.00;0;4145248.00;0.00;1271096.96;0.00;0.00;0;0.00;0.00;0.00;0.00;-3548.00;0.00;38804.99;-14944.00;-375262.02;-13171.00;6747.00;-19918.00;-368120.03;0.00;0.00;-350225.98;12.39;60952.00;BRAP4
31/12/2012;3340186.11;1693863.94;166963.01;0.00;452543.01;973395.97;0.00;96316.00;4731.00;-85.00;21802.00;0.00;0.00;610.00;0.00;0.00;0.00;561.00;0.00;20631.00;0.00;454321.98;1170198.02;0;3340186.11;863276.03;92899.00;575587.01;40489.00;60712.00;0.00;5451.00;74017.00;14121.00;0.00;212251.01;131460.00;0.00;7049.00;64021.00;0;9721.00;0.00;0.00;0.00;2264658.94;908638.98;1039934.98;13127;302958.02;0.00;0.00;0.00;0.00;0;1424010.88;-1024334.14;399676.96;-275704.96;-79406.99;0.00;0.00;-21090.00;0.00;-1404.00;3421.00;-4825.00;22071.00;-8106.00;-12558.00;1407.00;4.02;60952.00;RADL3
31/12/2012;4045907.97;1248333.95;823865.98;0.00;361156.99;0.00;0.00;14645.00;374.00;48292.00;51616.00;0.00;0.00;3981.00;0.00;0.00;24510.00;0.00;0.00;23125.00;0.00;2705229.06;40729.00;0;4045907.97;734168.00;53188.00;356152.00;35370.00;210059.01;0.00;18659.00;60740.00;0.00;0.00;1986987.01;1845031.94;0.00;18050.00;76807.00;0;35167.00;0.00;11931.00;0.00;1324753.02;601708.03;48067.00;0;674977.98;0.00;0.00;0.00;0.00;0;795576.90;-548230.98;247346.03;-71134.01;-26756.00;0.00;733.00;66.00;0.00;-30568.00;13330.00;-43897.99;119687.02;-24678.00;-8938.00;86071.00;7.87;60952.00;RENT3
31/12/2012;26675791.87;3336865.02;1921177.98;0.00;1152439.04;53090.00;0.00;129141.00;0.00;81017.00;909577.02;0.00;0.00;335687.01;0.00;0.00;141356.00;0.00;153098.00;279436.00;54046.00;383383.01;21991921.66;0;26675791.87;3797370.11;267863.01;297198.02;153120.99;1367390.98;958.00;414355.01;731401.02;565083.01;0.00;11162846.21;7701928.96;0.00;2836843.01;0.00;0;624073.98;0.00;0.00;0.00;11715576.83;6203687.94;124255.00;0;5387634.18;0.00;0.00;0.00;0.00;0;2977080.06;-1798138.88;1178941.18;-169551.98;-189528.99;0.00;23649.00;-10856.00;0.00;97195.01;104957.99;-7763.02;929848.00;-114250.97;-50186.00;765411.07;21.53;60952.00;SBSP3
31/12/2012;4367072.77;2327430.91;467249.98;821504.00;189392.99;218534.00;40763.00;472102.02;0.00;117885.00;394164.00;0.00;0.00;0.00;0.00;0.00;223579.01;0.00;31331.00;139254.00;0.00;1218580.99;426896.99;0;4367072.77;1084386.05;38894.00;289432.99;23962.00;533110.02;0.00;0.00;198987.01;0.00;0.00;2528379.90;2133154.05;63714.00;223339.01;75229.00;0;32944.00;0.00;0.00;2418.00;751889.01;712984.00;156802.00;73168;18673.00;-190223.01;0.00;-19515.00;0.00;0;1206661.25;-955314.05;251347.01;-101509.02;-41639.99;0.00;22883.00;233.00;0.00;-106255.01;14552.00;-120807.03;25058.99;-1129.00;-45723.00;-19406.00;8.68;60952.00;BEEF3
31/12/2012;25353435.14;6686959.10;4337608.19;0.00;1102675.97;683750.02;0.00;268438.02;7957.00;286529.98;3305916.93;0.00;0.00;0.00;0.00;2643940.10;813.00;10359.00;0.00;650804.99;0.00;15147822.08;212739.01;0;25353435.14;2855859.97;129816.00;875648.00;45443.00;1621917.06;0.00;627.00;182409.00;0.00;0.00;11495498.75;9097187.33;0.00;200856.99;1684903.04;0;512552.00;0.00;0.00;0.00;11002078.21;6240709.12;-211459.01;0;2469808.90;0.00;2503019.01;0.00;0.00;0;1470435.84;-1061006.91;409429.02;-67495.99;-118420.98;0.00;7268.00;-12918.00;0.00;-155819.02;63445.00;-219263.97;62043.02;-3018.00;-25041.01;33984.01;17.51;60952.00;SUZB3
31/12/2012;9636364.29;3783993.09;543265.98;1938765.06;1227197.95;0.00;0.00;71041.00;0.00;3723.00;5827620.86;0.00;151012.99;0.00;0.00;0.00;281424.99;0.00;0.00;5395183.10;0.00;17456.00;7294.00;0;9636364.29;652923.01;0.00;26692.00;22078.00;429553.98;0.00;99648.00;74951.01;0.00;0.00;4886197.76;4341467.14;0.00;48848.00;492760.99;0;3122.00;0.00;0.00;0.00;4097242.88;3042034.94;594507.01;0;460700.99;0.00;0.00;0.00;0.00;0;232833.02;-33002.00;199830.99;0.00;-25156.00;0.00;0.00;0.00;0.00;-58258.00;48237.01;-106495.01;116417.04;-37543.00;40997.99;119872.00;7.80;60952.00;TAEE11
31/12/2012;1420621.06;744979.97;412408.00;10168.00;289595.01;0.00;0.00;19506.00;0.00;13303.00;129996.00;13123.00;0.00;51041.00;0.00;0.00;58001.00;0.00;0.00;7831.00;0.00;58089.00;487556.00;0;1420621.06;334016.00;95072.00;30281.00;3518.00;97329.00;0.00;49681.00;58135.00;0.00;0.00;173459.01;150815.01;0.00;16274.00;0.00;0;6370.00;0.00;0.00;0.00;913145.98;480598.02;78241.00;0;356520.00;0.00;-2213.00;0.00;0.00;0;353097.06;-115925.00;237171.97;-21590.00;-21734.00;0.00;0.00;-119234.01;0.00;732.00;14959.00;-14227.00;75345.99;-11444.00;2966.00;66868.00;11.30;60952.00;TOTS3
31/12/2012;24147113.98;3536282.11;43642.00;3233360.90;56849.00;0.00;0.00;180458.00;17831.00;4141.00;808867.97;573635.97;0.00;0.00;0.00;0.00;132286.00;2924.00;0.00;100022.00;2928819.97;360992.99;16512150.53;0;24147113.98;1660609.02;0.00;60562.00;30922.00;36882.00;0.00;1845.00;1530397.94;0.00;0.00;3072623.10;1242238.98;0.00;0.00;1739644.03;0;90740.00;0.00;0.00;15964.00;19397918.88;2540239.10;15552748.54;21946;966587.01;0.00;316396.99;0.00;0.00;0;441575.01;57599.00;499173.98;0.00;-256041.98;0.00;0.00;0.00;32170.00;43111.01;65699.99;-22589.00;318412.96;6417.00;-107645.98;217306.08;3.09;60952.00;B3SA3
31/12/2012;15299924.99;7176569.86;2050050.94;962136.00;2327339.01;1299806.98;0.00;483200.99;54036.00;0.00;1437821.06;138912.00;10618.00;148308.00;0.00;0.00;465190.02;80856.00;10858.00;583078.98;15513.00;4701406.21;1968615.04;0;15299924.99;3749452.03;254566.00;1312268.03;183184.99;1641100.03;0.00;222370.00;70567.98;65395.00;0.00;5534736.90;4597605.89;3872.00;109418.00;84924.00;0;738916.99;0.00;0.00;25495.00;5990240.81;3696773.12;20246.00;6713;2253864.96;0.00;23.00;12621.00;0.00;0;14346881.02;-13225293.82;1121590.02;-404628.06;-264436.99;0.00;39452.00;-566.00;-10.00;-56365.00;49301.99;-105666.98;435036.03;-87453.02;-45913.00;299771.01;19.73;60952.00;UGPA3
31/12/2012;3095250.94;279758.02;123957.00;19144.00;86995.00;0.00;0.00;0.00;0.00;49662.00;265228.99;0.00;0.00;3712.00;0.00;0.00;218504.99;0.00;18829.00;24183.00;99.00;20159.00;2530006.02;0;3095250.94;304273.98;30218.00;117952.00;23627.00;88222.00;84.00;0.00;44171.00;0.00;0.00;798774.02;216948.99;0.00;253955.01;253107.01;0;74597.00;0.00;166.00;-4827.00;1997030.01;1822436.99;58190.00;0;0.00;-28641.00;145044.00;0.00;0.00;0;259718.98;-69320.99;190397.98;-51999.01;-85936.01;-24195.00;-3095.00;-15290.00;0.00;-16445.00;14082.00;-30527.00;-6562.00;-8885.00;2190.00;-14256.00;13.03;60952.00;QUAL3
31/12/2012;14305825.79;1603683.97;872491.01;9765.00;447072.99;0.00;0.00;71476.00;71698.00;131181.00;3359170.05;667.00;0.00;19732.00;0.00;0.00;440148.99;7837.00;149159.01;2741626.11;0.00;560905.98;8782065.66;0;14305825.79;3743691.01;139538.00;365313.98;334504.00;2519747.07;86787.00;257.00;149631.99;147912.00;0.00;7199802.88;5634667.01;203436.99;385184.99;218599.01;0;757915.01;0.00;0.00;53456.00;3308875.90;2025341.95;-22934.00;0;1306144.00;0.00;0.00;324.00;0.00;0;1666700.80;-776015.10;890686.14;0.00;-213434.98;0.00;3058.00;-653.00;0.00;-145585.97;50783.01;-196368.98;534070.05;-181678.02;-866.00;347544.96;13.17;60952.00;CCRO3
31/12/2012;49756192.77;19383400.45;1949229.95;3433857.02;5688648.19;5182187.01;849624.00;1676267.01;142960.99;460624.99;2198321.92;0.00;0.00;0.00;0.00;304308.99;0.00;0.00;548908.99;1345104.00;258620.00;16207639.55;11708212.22;0;49756192.77;11537572.86;1067472.00;3564270.08;217423.01;6098897.92;0.00;0.00;589510.02;0.00;0.00;16785313.79;14390045.70;0.00;915150.98;1276755.97;0;203360.99;0.00;0.00;822758.98;20610546.11;21506248.70;-487272.99;96847;1993697.02;0.00;92999.00;-2591970.05;0.00;0;21850722.30;-19409455.10;2441270.78;-1128995.97;-594632.06;0.00;-22048.00;-21307.00;205.00;-374398.94;433580.03;-807978.94;300093.98;-101548.00;-136346.02;66375.98;4.47;60952.00;JBSS3
31/12/2012;364016992.26;214978002.94;5190000.13;117859000.32;71440998.40;790000.00;1102000.00;0.00;0.00;18595999.74;139095015.42;67336998.91;1108999.94;54088998.91;0.00;0.00;0.00;0.00;0.00;16560000.00;1280999.94;5463000.06;3200000.00;0;364016992.26;179804995.58;0.00;0.00;1751000.06;0.00;0.00;0.00;177439997.95;614000.00;0.00;151503011.84;0.00;0.00;107732000.77;2601999.87;0;41168998.40;0.00;0.00;2681999.87;30026999.30;16499999.74;0.00;0;13233000.45;0.00;0.00;0.00;294000.00;0;1631000.19;-1316000.00;315000.00;0.00;-3407000.06;0.00;585000.06;-912000.06;15000.00;4994001.41;18129999.87;-13135998.98;1590000.13;-315000.00;-137999.94;1036999.81;2.96;60952.00;ITSA4
31/12/2012;49295228.93;21121943.55;14444874.75;0.00;1794566.02;3580025.09;0.00;0.00;0.00;1302478.98;4137309.95;0.00;116753.00;0.00;0.00;0.00;2372500.99;0.00;0.00;1648056.06;2351773.95;20408748.03;1275452.03;0;49295228.93;6408075.78;241291.01;1957789.06;336348.00;2295408.90;0.00;0.00;0.00;355888.99;0.00;33879640.06;27856349.18;0.00;0.00;284110.02;0;1350727.94;0.00;0.00;390616.00;8616896.58;4540000.26;30.00;0;3690543.10;0.00;0.00;0.00;386324.00;0;4596524.54;-3235163.39;1361360.90;-341670.98;-133520.99;0.00;-34367.00;-129363.16;-873.00;-549628.99;135562.99;-685192.06;171937.06;0.00;0.00;331839.01;6.11;60952.00;CSNA3
31/12/2012;21211553.79;4699254.78;1483137.02;672313.02;2171343.10;124809.00;0.00;242648.99;5004.00;0.00;6302903.81;159580.99;12180.00;26171.00;0.00;0.00;647804.03;8832.00;0.00;5448335.87;543036.03;7871848.96;1794509.95;0;21211553.79;2847817.98;384150.02;1136359.04;461084.99;274008.99;0.00;0.00;592214.98;0.00;0.00;5866237.95;2987546.11;0.00;1107059.97;615923.97;0;1155708.03;0.00;0.00;264506.00;12232992.11;6910000.13;0.00;0;3972989.95;0.00;1350002.05;0.00;0.00;0;2423100.93;-2111033.09;312067.94;-34193.00;-193806.03;0.00;715.00;-124803.01;-41489.00;-113858.00;124962.99;-238820.98;-195366.05;-24458.99;122336.00;-105675.01;1.45;60952.00;CPLE6
